OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41678,2017,CA,CCO,LAC,BARN,00157711,2017/05/29 00:00:00+00,2017/05/29 00:00:00+00,4,,3,2.06403875,7,1,,12330.964201835,541.386486368657
41679,2017,CA,CCO,LAC,FIVE,00163449,2017/06/03 00:00:00+00,2017/06/03 00:00:00+00,14,,25,25.30415535,7,1,,151271.798791785,2686.85859820945
41680,2017,CA,CCO,LAC,SOUTH,00174063,2017/06/13 00:00:00+00,2017/06/13 00:00:00+00,4,,,9.50728226,1,1,,57020.217684175,1177.22979385056
41681,2017,CA,CCO,LAC,WAGON,00184068,2017/06/22 00:00:00+00,2017/06/22 00:00:00+00,2,,,0.18053645,7,1,,1078.04640876,154.415832407893
41682,2017,CA,CCO,LAC,BROWNS,00197749,2017/07/04 00:00:00+00,2017/07/05 00:00:00+00,8,,,0.03477105,7,1,,206.72866848,76.844473678053
41683,2017,CA,CCO,LAC,VISTA,00224040,2017/07/29 00:00:00+00,2017/07/29 00:00:00+00,14,,2,0.55576438,7,1,,3322.337030195,327.685859742254
41684,2017,CA,CCO,LAC,PALMS,00227042,2017/07/31 00:00:00+00,2017/07/31 00:00:00+00,14,,2.6,2.91187334,7,1,,17195.77511378,667.983315545885
41685,2017,CA,CCO,LAC,JOHNSON,00171906,2017/06/11 00:00:00+00,2017/06/11 00:00:00+00,7,,,38.81298065,7,1,,232771.900578415,3727.66889737777
41686,2017,CA,CCO,LAC,CANYON,00197049,2017/07/04 00:00:00+00,2017/07/04 00:00:00+00,14,,,1.36234868,7,1,,8033.26731584,804.378836957558
41687,2017,CA,CCO,LAC,NEENACH,00192904,2017/06/30 00:00:00+00,2017/06/30 00:00:00+00,2,,,18.74323463,7,1,,112692.70988085,1732.55656892638
41688,2017,CA,CCO,LAC,OLD,00212637,2017/07/18 00:00:00+00,2017/07/18 00:00:00+00,2,,,1.63832092,7,1,,9747.89294679,621.700390971385
41689,2017,CA,CCO,LAC,HASLEY,00202478,2017/07/09 00:00:00+00,2017/07/09 00:00:00+00,8,,1,1.34257162,1,1,,8010.060730765,396.208921295914
41690,2017,CA,CCO,LAC,MARTINEZ,00298577,2017/10/05 00:00:00+00,2017/10/06 00:00:00+00,7,,,0.05247684,1,1,,313.054125905,84.9692708060884
41691,2017,CA,CCO,LAC,COYOTE,00324083,2017/10/29 00:00:00+00,2017/10/29 00:00:00+00,14,,0.4,0.24269134,1,1,,1438.92643321,207.601785472048
41692,2017,CA,CCO,LAC,MEDLEY,00314882,2017/10/21 00:00:00+00,2017/10/21 00:00:00+00,14,,,0.02775379,1,1,,164.10520826,61.6310025208846
41693,2017,CA,CCO,LAC,TETON,00290730,2017/09/28 00:00:00+00,2017/09/28 00:00:00+00,14,,,0.30112395,7,1,,1777.422038285,219.109806650602
41694,2017,CA,CCO,LAC,LEONA,00270836,2017/09/09 00:00:00+00,2017/09/09 00:00:00+00,11,,,0.13929701,1,1,,834.152527325,136.421125767789
41695,2017,CA,CCO,LAC,ESCONDIDO,00241015,2017/08/13 00:00:00+00,2017/08/13 00:00:00+00,14,,,65.97264099,1,1,,394057.059699625,3261.06603558753
41696,2017,CA,CCO,LAC,PARKMOR,00220731,2017/07/25 00:00:00+00,2017/07/25 00:00:00+00,14,,,1.13204372,1,1,,6707.02850649,322.580428168015
41697,2017,CA,CCO,LAC,TOWSLEY,00207488,2017/07/13 00:00:00+00,2017/07/15 00:00:00+00,8,,,35.99305725,7,1,,214235.836576515,2985.56062124779
41698,2017,CA,CCO,LAC,RODEO,00218382,2017/07/23 00:00:00+00,2017/07/23 00:00:00+00,14,,,61.10293961,1,1,,361739.62266846,6777.39635560407
41699,2017,CA,CCO,LAC,GORMAN,00223518,2017/07/28 00:00:00+00,2017/07/28 00:00:00+00,14,,,149.60995483,7,1,,899961.03580072,6001.88563703221
41700,2017,CA,CCO,LAC,SIERRA,00255759,2017/08/27 00:00:00+00,2017/08/28 00:00:00+00,2,,,36.46341324,1,1,,217830.630458675,2749.5196020925
41701,2017,CA,CCO,LAC,HACIENDA,00338819,2017/11/12 00:00:00+00,2017/11/12 00:00:00+00,14,,1,0.24720795,1,1,,1458.391953665,212.624414441036
41702,2017,CA,CCO,LAC,SKYLINE,00339735,2017/11/13 00:00:00+00,2017/11/13 00:00:00+00,2,,,0.07016324,1,1,,415.28782921,152.498309714044
41703,2017,CA,CCO,LAC,RAMBLA,00377553,2017/12/18 00:00:00+00,2017/12/18 00:00:00+00,2,,0.21,0.17993994,1,1,,1062.964498015,138.020243674756
41706,2017,CA,CCO,KRN,MING,01718713,2017/05/20 00:00:00+00,2017/05/20 00:00:00+00,14,CA-KRN-018713,,449.77807617,1,1,,2749685.94492426,11060.8694509757
41707,2017,CA,CCO,KRN,HUB,01717619,2017/05/12 00:00:00+00,2017/05/12 00:00:00+00,14,CA-KRN-017619,,30.58593559,1,1,,187623.870857655,2201.98007717506
41708,2017,CA,CCO,KRN,CHAMPAGNE,01719819,2017/05/28 00:00:00+00,2017/05/28 00:00:00+00,14,CA-KRN-019819,,6.24042845,1,1,,37671.171765685,1657.25584738683
41709,2017,CA,CCO,KRN,HAWK,01726219,2017/07/07 00:00:00+00,2017/07/07 00:00:00+00,14, ,,2940.49560547,1,1,,18125461.3899339,27073.4020093567
41710,2017,CA,CCO,KRN,HUDSON,01727936,2017/07/18 00:00:00+00,2017/07/18 00:00:00+00,14,CA-KERN-27936,,1182.30126953,1,1,,7138106.51562765,12600.4349607414
